arriveRate, tillNum, maxLength, averageWaitLimit, waitLimitSD, averageServeTime, serveTimeSD
2.000, 1, 5, 20.000, 2.000, 3.000, 1.500
72: beingServed=1, peopleInQueue=5, fulfilled=23, unfulfilled=81, timed_out=0
73: beingServed=1, peopleInQueue=5, fulfilled=23, unfulfilled=83, timed_out=0
74: beingServed=1, peopleInQueue=5, fulfilled=23, unfulfilled=85, timed_out=0
75: beingServed=1, peopleInQueue=5, fulfilled=24, unfulfilled=86, timed_out=0
76: beingServed=1, peopleInQueue=5, fulfilled=24, unfulfilled=88, timed_out=0
77: beingServed=1, peopleInQueue=5, fulfilled=24, unfulfilled=90, timed_out=0
78: beingServed=1, peopleInQueue=5, fulfilled=25, unfulfilled=90, timed_out=1
79: beingServed=1, peopleInQueue=5, fulfilled=25, unfulfilled=93, timed_out=1
80: beingServed=1, peopleInQueue=5, fulfilled=25, unfulfilled=95, timed_out=1
81: beingServed=1, peopleInQueue=5, fulfilled=25, unfulfilled=96, timed_out=1
82: beingServed=1, peopleInQueue=5, fulfilled=26, unfulfilled=96, timed_out=1
83: beingServed=1, peopleInQueue=5, fulfilled=26, unfulfilled=98, timed_out=1
84: beingServed=1, peopleInQueue=5, fulfilled=26, unfulfilled=99, timed_out=1
85: beingServed=1, peopleInQueue=5, fulfilled=26, unfulfilled=100, timed_out=1
86: beingServed=1, peopleInQueue=5, fulfilled=27, unfulfilled=102, timed_out=1
87: beingServed=1, peopleInQueue=5, fulfilled=27, unfulfilled=103, timed_out=1
88: beingServed=1, peopleInQueue=5, fulfilled=27, unfulfilled=106, timed_out=1
89: beingServed=1, peopleInQueue=5, fulfilled=28, unfulfilled=106, timed_out=1
90: beingServed=1, peopleInQueue=5, fulfilled=29, unfulfilled=107, timed_out=1
91: beingServed=1, peopleInQueue=5, fulfilled=29, unfulfilled=109, timed_out=1
92: beingServed=1, peopleInQueue=5, fulfilled=29, unfulfilled=110, timed_out=1
93: beingServed=1, peopleInQueue=5, fulfilled=29, unfulfilled=111, timed_out=1
94: beingServed=1, peopleInQueue=5, fulfilled=29, unfulfilled=115, timed_out=1
95: beingServed=1, peopleInQueue=5, fulfilled=30, unfulfilled=115, timed_out=1
96: beingServed=1, peopleInQueue=5, fulfilled=30, unfulfilled=117, timed_out=1
97: beingServed=1, peopleInQueue=5, fulfilled=31, unfulfilled=118, timed_out=1
98: beingServed=1, peopleInQueue=4, fulfilled=32, unfulfilled=118, timed_out=1
99: beingServed=1, peopleInQueue=5, fulfilled=32, unfulfilled=118, timed_out=1
---Closing Time---
100: beingServed=1, peopleInQueue=5, fulfilled=32, unfulfilled=118, timed_out=1
101: beingServed=1, peopleInQueue=5, fulfilled=32, unfulfilled=118, timed_out=1
102: beingServed=1, peopleInQueue=5, fulfilled=32, unfulfilled=118, timed_out=1
103: beingServed=1, peopleInQueue=5, fulfilled=32, unfulfilled=118, timed_out=1
104: beingServed=1, peopleInQueue=5, fulfilled=32, unfulfilled=118, timed_out=1
105: beingServed=1, peopleInQueue=4, fulfilled=33, unfulfilled=118, timed_out=1
106: beingServed=1, peopleInQueue=3, fulfilled=34, unfulfilled=118, timed_out=1
107: beingServed=1, peopleInQueue=3, fulfilled=34, unfulfilled=118, timed_out=1
108: beingServed=1, peopleInQueue=3, fulfilled=34, unfulfilled=118, timed_out=1
109: beingServed=1, peopleInQueue=3, fulfilled=34, unfulfilled=118, timed_out=1
110: beingServed=1, peopleInQueue=2, fulfilled=35, unfulfilled=118, timed_out=1
111: beingServed=1, peopleInQueue=2, fulfilled=35, unfulfilled=118, timed_out=1
112: beingServed=1, peopleInQueue=2, fulfilled=35, unfulfilled=118, timed_out=1
113: beingServed=1, peopleInQueue=1, fulfilled=36, unfulfilled=118, timed_out=1
114: beingServed=1, peopleInQueue=0, fulfilled=37, unfulfilled=118, timed_out=1
115: beingServed=1, peopleInQueue=0, fulfilled=37, unfulfilled=118, timed_out=1
116: beingServed=0, peopleInQueue=0, fulfilled=38, unfulfilled=118, timed_out=1
Time taken to empty queue after closing: 17
Average wait time for fulfilled customers: 12.605263
